Country,Year,Raw Event,Desc,Article Link,Month,YouTube Video Link,X Post
Iran,2012,Earthquake,"A major earthquake struck, causing significant loss of life and damage to infrastructure, prompting national and international responses to aid recovery efforts.",,,,
Iran,2013,Presidential Election,"A new president was elected, promising reform and a more open approach to international relations, leading to cautious optimism about political and social changes.",,,,
Iran,2013,Nuclear Agreement Talks,"Preliminary talks on a nuclear agreement with major world powers began, aiming to lift sanctions in exchange for limits on Iran's nuclear activities.",,,,
Iran,2013,Diplomatic Engagements,"The initiation of diplomatic engagements with several Western countries, aimed at resolving longstanding issues around the nuclear program.",,,,
Iran,2013,Economic Policy Reforms,"The government introduced economic reforms to stabilize the currency and address inflation, seeking to alleviate economic distress.",,,,
Iran,2013,Regional Influence,"Iran's influence in regional conflicts and politics increased, leading to complex diplomatic and military engagements across the Middle East.",,,,
Iran,2014,Nuclear Agreement Progress,"Progress was made towards a comprehensive nuclear agreement, easing some sanctions and improving diplomatic relations with several Western countries.",,,,
Iran,2014,Internet Freedom,"Initiatives to increase internet freedom and access to information, despite continued censorship, reflecting the complex dynamics of technological progress and political control.",,,,
Iran,2014,Medical Advances,"Significant advancements in medical research and healthcare services, contributing to public health and the nation's status in regional healthcare provision.",,,,
Iran,2014,Energy Exports,"Efforts to increase energy exports, including oil and gas, to new markets, despite international sanctions, aiming to bolster the economy.",,,,
Iran,2014,Environmental Challenges,"Severe environmental issues, including air pollution and water scarcity, impacted public health and agriculture, prompting government and community actions.",,,,
Iran,2014,Cultural Heritage Recognition,"Iran's efforts to preserve cultural heritage were recognized internationally, highlighting the country's rich history and contribution to global culture.",,,,
Iran,2015,Nuclear Agreement Finalized,"A landmark nuclear agreement was reached, promising significant lifting of sanctions in exchange for strict limits on nuclear activities, marked by international negotiations.",,,,
Iran,2015,Technological Sector Growth,"Rapid growth in the technological sector, including startups and innovation hubs, fostering economic diversification and youth employment.",,,,
